Query Number,Search Miles,Round Trip Query Time,Mean Cell Resolution,GpCell Count,Cache Hit,Found,InBounds,HasShops,Mean Non-Cache Search Time,STD Non-Cache Search Time,Mean All Search Time,STD All Search Time
,,,,,,,,,,,,
0,8.887,0.355,10.00,6,6,15,8,8,0,0,0.0067,0.0027
,,,,,,,,,,,,
1,4.790,0.224,11.00,3,3,3,2,2,0,0,0.0067,0.0038
,,,,,,,,,,,,
2,9.387,0.229,10.00,6,6,10,2,2,0,0,0.0033,0.0014
,,,,,,,,,,,,
3,5.484,0.234,11.00,3,3,4,2,2,0,0,0.0033,0.0019
,,,,,,,,,,,,
4,4.394,0.379,11.00,2,2,2,2,2,0,0,0.0050,0.0035
,,,,,,,,,,,,
5,6.722,0.207,10.00,3,3,5,1,1,0,0,0.0067,0.0019
,,,,,,,,,,,,
6,3.477,0.192,11.00,1,1,1,1,1,0,0,0.0000,0.0000
,,,,,,,,,,,,
7,5.050,0.206,11.00,2,2,3,0,0,0,0,0.0050,0.0035
,,,,,,,,,,,,
8,6.778,0.201,10.00,4,4,8,2,2,0,0,0.0050,0.0025
,,,,,,,,,,,,
9,6.776,0.225,10.20,5,5,12,4,4,0,0,0.0040,0.0018
,,,,,,,,,,,,
10,2.825,0.215,0.00,0,0,0,0,0,0,0,0.0000,0.0000
,,,,,,,,,,,,
11,2.939,0.256,11.00,1,1,1,0,0,0,0,0.0100,0.0000
,,,,,,,,,,,,
12,2.915,0.220,0.00,0,0,0,0,0,0,0,0.0000,0.0000
,,,,,,,,,,,,
13,4.908,0.226,11.00,3,3,5,0,0,0,0,0.0067,0.0019
,,,,,,,,,,,,
14,2.000,0.209,13.00,1,1,1,0,0,0,0,0.0100,0.0000
,,,,,,,,,,,,
15,7.085,0.200,10.33,3,3,8,2,2,0,0,0.0033,0.0019
,,,,,,,,,,,,
16,3.908,0.224,11.00,2,2,3,2,2,0,0,0.0050,0.0035
,,,,,,,,,,,,
17,2.630,0.203,12.00,1,1,1,0,0,0,0,0.0100,0.0000
,,,,,,,,,,,,
18,3.597,0.207,11.00,3,3,4,3,3,0,0,0.0033,0.0019
,,,,,,,,,,,,
19,7.274,0.201,10.00,4,4,7,4,4,0,0,0.0050,0.0025
,,,,,,,,,,,,
