Query Number,Search Miles,Round Trip Query Time,Mean Cell Resolution,GpCell Count,Cache Hit,Found,InBounds,HasShops,Mean Non-Cache Search Time,STD Non-Cache Search Time,Mean All Search Time,STD All Search Time
0,6.09305769572,1.32562156487,11.4,10,0,21,11,11,0.000999999999999,0.000316227766017,0.000999999999999,0.000316227766017
1,2.9170533304,0.499881068714,12.0,9,0,6,5,5,0.0,0.0,0.0,0.0
2,4.00328261328,0.486020866581,11.2857142857,7,0,7,3,3,0.0,0.0,0.0,0.0
3,2.52712058861,0.714034621877,12.375,8,0,6,4,4,0.0,0.0,0.0,0.0
4,3.00712384311,0.533953825457,12.3,10,0,7,4,4,0.001,0.000316227766017,0.001,0.000316227766017
5,6.22405463753,0.781448102729,10.6666666667,6,0,33,7,7,0.00166666666667,0.000680413817439,0.00166666666667,0.000680413817439
6,7.33783895276,0.766066194964,10.3333333333,6,0,59,17,17,0.00333333333333,0.00136082763488,0.00333333333333,0.00136082763488
7,8.3820529938,0.480091978652,10.1666666667,6,0,50,22,22,0.00166666666667,0.000680413817439,0.00166666666667,0.000680413817439
8,6.39919305386,0.880154537661,10.5,6,0,47,14,14,0.00333333333333,0.00136082763488,0.00333333333333,0.00136082763488
9,6.95081367876,0.423964481239,10.3333333333,6,0,41,14,14,0.00333333333333,0.00136082763488,0.00333333333333,0.00136082763488
10,3.23336324757,0.450459451348,11.6666666667,6,0,10,3,3,0.00333333333333,0.00136082763488,0.00333333333333,0.00136082763488
11,5.18339125399,0.401981214621,11.2222222222,9,0,22,13,13,0.0,0.0,0.0,0.0
12,0.502923050908,0.438617814792,14.3333333333,6,0,0,0,0,0.0,0.0,0.0,0.0
13,5.95560242744,0.473291184137,10.0,4,0,41,9,9,0.0025,0.00125,0.0025,0.00125
14,5.45721578709,0.825058034241,11.3,10,0,15,9,9,0.0,0.0,0.0,0.0
15,7.48239058927,0.470864524776,10.0,5,0,61,20,20,0.002,0.003577708764,0.002,0.003577708764
16,5.26812750702,0.595039162785,11.4285714286,7,0,8,3,3,0.0,0.0,0.0,0.0
17,3.20824052744,0.319069008198,11.0,4,0,7,2,2,0.0025,0.00125,0.0025,0.00125
18,7.60286485265,0.394150194652,10.5,6,0,45,15,15,0.00166666666667,0.00068041381744,0.00166666666667,0.00068041381744
19,5.50269053573,0.422568431602,11.1111111111,9,0,34,12,12,0.0,0.0,0.0,0.0
