Query Number,Search Miles,CPU Usage,Round Trip Query Time,Mean Cell Resolution,GpCell Count,Cache Hit,Found,InBounds,HasShops,Mean Non-Cache Search Time,STD Non-Cache Search Time,Mean All Search Time,STD All Search Time
0,9.82413298236,0,1.13876149301,10.0,7,7,137,57,57,0.0,0.0,0.0105948571425,0.00139205935192
1,1.0478578798,0,1.07575058322,13.0,2,2,2,1,1,0.0,0.0,0.00223935000031,4.93206979637e-05
2,8.7971887121,0,1.14599266891,10.1666666667,6,6,109,42,42,0.0,0.0,0.0126716500005,0.00388883032714
3,8.19405023641,0,1.18614571561,10.1666666667,6,6,105,38,38,0.0,0.0,0.0187379166655,0.00252751279452
4,2.18421214222,0,1.09184223602,12.0,5,5,9,2,2,0.0,0.0,0.00407844000001,0.000413019643371
5,7.96189669717,0,1.13011505401,10.3333333333,6,6,114,40,40,0.0,0.0,0.0111178166668,0.000612733054424
6,3.24109690141,0,1.12632308654,12.125,8,8,13,5,5,0.0,0.0,0.00538300000107,0.000105606397218
7,4.42772950372,0,1.08402889243,11.0,4,4,24,14,14,0.0,0.0,0.00531665000108,0.00157937500035
8,7.48874320412,0,1.12047604793,10.3333333333,6,6,95,23,23,0.0,0.0,0.0104755666671,0.00241668018844
9,8.68069962225,0,1.13846368446,10.2857142857,7,7,112,40,40,0.0,0.0,0.00937028571466,0.00200267715693
10,1.59300887378,0,1.06914691876,13.0,2,2,2,1,1,0.0,0.0,0.00226780000048,0.000130531911494
11,9.25686345021,0,1.10388715093,10.1666666667,6,6,96,52,52,0.0,0.0,0.00943048333344,0.000271491917916
12,3.50466873444,0,1.09211429854,11.0,5,5,22,8,8,0.0,0.0,0.00455253999971,0.000118180664602
13,7.74430970348,0,1.13324761571,10.3333333333,6,6,114,44,44,0.0,0.0,0.0110709166668,0.00256417349217
14,0.936735677005,0,1.08260709676,13.0,2,2,2,1,1,0.0,0.0,0.00297635000061,0.000272130044772
15,7.19354639603,0,1.10954205499,10.6,5,5,63,24,24,0.0,0.0,0.00792491999964,0.000219009441356
16,9.29477463108,0,1.13495146489,10.1666666667,6,6,104,40,40,0.0,0.0,0.0101948666664,0.00132694302622
17,3.84901260652,0,1.08956813149,11.4,5,5,17,8,8,0.0,0.0,0.00406217999989,0.000699656726122
18,5.88096812154,0,1.11155062957,11.125,8,8,39,22,22,0.0,0.0,0.00431177500104,0.000504299717485
19,5.13457222413,0,1.11980665116,11.0,6,6,30,12,12,0.0,0.0,0.0063464666667,0.000987117148853
